# Supplementary Data S1: Temperature-dependent ammonia toxicity in Tenebrio molitor larvae at 21-23°C
# Complete dataset including individual larval responses, parasite loads, and survival outcomes
# Experiment duration: 10 days, n=75 larvae across 5 concentration groups (15 larvae per group)
# Parasitological assessment: Gregarina spp. counts (G. polymorpha, G. cuneata, G. steini)
Temperature, °C,10% NH₃,Start weight, mg,End weight, mg,Weight change, mg,G.p.,G.c.,G.s.,Status
21–23,0,160,207,47,42,18,28,Alive
21–23,0,161,200,39,0,0,0,Alive
21–23,0,137,155,18,67,0,0,Alive
21–23,0,156,176,20,24,12,36,Alive
21–23,0,154,192,38,0,25,0,Alive
21–23,0,142,168,26,22,13,32,Alive
21–23,0,148,171,23,0,0,89,Alive
21–23,0,163,186,23,31,15,44,Alive
21–23,0,139,164,25,0,0,0,Alive
21–23,0,155,178,23,0,23,0,Alive
21–23,0,146,172,26,56,0,0,Alive
21–23,0,158,181,23,22,12,33,Alive
21–23,0,151,174,23,0,34,0,Alive
21–23,0,144,169,25,21,15,34,Alive
21–23,0,162,185,23,78,0,0,Alive
21–23,1000,166,182,16,14,7,19,Alive
21–23,1000,131,119,-12,0,0,0,Alive
21–23,1000,180,168,-12,13,6,18,Alive
21–23,1000,196,155,-41,15,9,22,Alive
21–23,1000,126,117,-9,0,8,0,Alive
21–23,1000,173,158,-17,18,8,23,Alive
21–23,1000,145,130,-19,12,5,15,Alive
21–23,1000,189,174,-15,0,0,0,Alive
21–23,1000,157,142,-13,14,6,17,Alive
21–23,1000,164,149,-18,16,8,21,Alive
21–23,1000,178,163,-16,0,0,20,Alive
21–23,1000,152,137,-17,15,5,18,Alive
21–23,1000,161,146,-12,11,4,15,Alive
21–23,1000,148,133,-15,17,9,24,Alive
21–23,1000,182,167,-20,0,0,0,Alive
21–23,2000,185,141,-44,12,5,15,Alive
21–23,2000,216,197,-19,0,0,0,Alive
21–23,2000,154,174,20,16,8,21,Alive
21–23,2000,158,178,20,13,6,17,Alive
21–23,2000,184,146,-38,0,0,19,Alive
21–23,2000,167,152,-18,11,4,13,Alive
21–23,2000,149,134,-16,17,9,23,Alive
21–23,2000,173,158,-12,9,3,12,Alive
21–23,2000,191,176,-9,0,0,0,Alive
21–23,2000,156,141,-12,12,5,16,Alive
21–23,2000,178,163,-19,14,7,20,Alive
21–23,2000,162,147,-22,10,4,14,Alive
21–23,2000,145,0,0,0,0,0,Dead
21–23,2000,187,172,-8,0,9,0,Alive
21–23,2000,174,159,-14,18,9,24,Alive
21–23,3000,164,153,-11,9,3,12,Alive
21–23,3000,162,126,-36,11,5,15,Alive
21–23,3000,154,139,-11,0,0,0,Alive
21–23,3000,134,139,5,13,6,17,Alive
21–23,3000,132,149,17,10,4,13,Alive
21–23,3000,178,163,-13,6,1,8,Alive
21–23,3000,156,141,-13,0,0,0,Alive
21–23,3000,149,0,0,0,0,0,Dead
21–23,3000,167,152,-12,8,3,11,Alive
21–23,3000,143,128,-16,0,2,0,Alive
21–23,3000,171,156,-16,11,4,14,Alive
21–23,3000,159,144,-17,9,3,12,Alive
21–23,3000,184,169,-19,4,0,6,Alive
21–23,3000,148,133,-21,0,0,0,Alive
21–23,3000,161,146,-21,7,2,10,Alive
21–23,4000,149,134,-18,5,1,7,Alive
21–23,4000,164,0,0,0,0,0,Dead
21–23,4000,149,0,0,0,0,0,Dead
21–23,4000,159,144,-20,0,0,0,Alive
21–23,4000,142,141,-1,6,2,8,Alive
21–23,4000,176,161,-16,2,0,3,Alive
21–23,4000,158,143,-23,0,0,10,Alive
21–23,4000,173,0,0,0,0,0,Dead
21–23,4000,151,136,-13,4,1,5,Alive
21–23,4000,167,0,0,0,0,0,Dead
21–23,4000,145,0,0,0,0,0,Dead
21–23,4000,182,167,-11,1,0,2,Alive
21–23,4000,154,0,0,0,0,0,Dead
21–23,4000,168,153,-12,0,3,0,Alive
21–23,4000,179,164,-20,3,1,4,Alive
